combination_id,price_weight,attributes_weight,text_weight,price_mae,attribute_f1
1,0.3,0.3,0.4,1051.050537109375,0.35190673228258795
2,0.4,0.4,0.2,1051.050537109375,0.35190673228258795
3,0.1,0.4,0.5,1051.050537109375,0.35190673228258795
4,0.2,0.6,0.2,1051.050537109375,0.35190673228258795
5,0.6,0.2,0.2,1051.050537109375,0.35190673228258795
