Model,Price MAE,Price RMSE,Price R²,Attribute F1,BLEU,ROUGE-L,Hallucination Rate
mtl,1067.671630859375,1935.8170109801185,0.47697532176971436,0.33891208206851453,0.15646140748517354,0.4054442621183012,7.648009650180941
siloed_attributes,,,,0.3178430071834703,,,
siloed_price,1074.3114013671875,1966.5506604204224,0.4602360725402832,,,,
direct_vlm,2998.1898238856747,4019.201522243657,-1.2546189315902625,0.0,0.006100303661380582,0.15341921110800105,N/A
vit_t5_vlm,2998.1898238856747,4019.201522243657,-1.2546189315902625,0.0,0.22037082270942415,0.4197689791927082,N/A
